Namespace(dataset='retailrocket', epoch=1, batchSize=64, embSize=100, l2=1e-05, lr=0.001, layer=3, beta=0.005, filter=False, gpu_id=0)
数据稀疏度实验 SSL的影响
-----train length: 796270 ----
-----test length: 75367 ----
/content/test_all/nhom2/CSGNN/util.py:147: RuntimeWarning: divide by zero encountered in divide
  DH = H.T.multiply(1.0 / H.sum(axis=1).reshape(1, -1))
-------------------------------------------------------
epoch:  0
start training:  2026-06-14 00:40:04.878920
/content/test_all/nhom2/CSGNN/model.py:143: UserWarning: torch.sparse.SparseTensor(indices, values, shape, *, device=) is deprecated.  Please use torch.sparse_coo_tensor(indices, values, shape, dtype=, device=). (Triggered internally at /pytorch/torch/csrc/utils/tensor_new.cpp:654.)
  adjacency = torch.sparse.FloatTensor(i, v, torch.Size(shape))
/content/test_all/nhom2/CSGNN/model.py:288: UserWarning: The torch.cuda.*DtypeTensor constructors are no longer recommended. It's best to use methods such as torch.tensor(data, dtype=*, device='cuda') to create tensors. (Triggered internally at /pytorch/torch/csrc/tensor/python_tensor.cpp:78.)
  one = torch.cuda.FloatTensor(neg1.shape[0]).fill_(1)
[0/12441] train loss: 11.4850
[50/12441] train loss: 9.7096
[100/12441] train loss: 8.1731
[150/12441] train loss: 7.7760
[200/12441] train loss: 6.6925
[250/12441] train loss: 5.8184
[300/12441] train loss: 6.6297
[350/12441] train loss: 7.1853
[400/12441] train loss: 6.2158
[450/12441] train loss: 7.2662
[500/12441] train loss: 7.6950
[550/12441] train loss: 6.7327
[600/12441] train loss: 7.3245
[650/12441] train loss: 6.7010
[700/12441] train loss: 6.4419
[750/12441] train loss: 6.0348
[800/12441] train loss: 6.9016
[850/12441] train loss: 6.2382
[900/12441] train loss: 6.4016
[950/12441] train loss: 6.3840
[1000/12441] train loss: 6.8399
[1050/12441] train loss: 5.4757
[1100/12441] train loss: 5.6747
[1150/12441] train loss: 5.8583
[1200/12441] train loss: 6.0982
[1250/12441] train loss: 6.3923
[1300/12441] train loss: 6.5102
[1350/12441] train loss: 6.2280
[1400/12441] train loss: 5.8978
[1450/12441] train loss: 5.7446
[1500/12441] train loss: 6.7254
[1550/12441] train loss: 6.1635
[1600/12441] train loss: 5.6009
[1650/12441] train loss: 6.0735
[1700/12441] train loss: 5.1399
[1750/12441] train loss: 5.2787
[1800/12441] train loss: 5.9822
[1850/12441] train loss: 5.3681
[1900/12441] train loss: 5.4400
[1950/12441] train loss: 5.3782
[2000/12441] train loss: 5.3264
[2050/12441] train loss: 5.9949
[2100/12441] train loss: 5.4174
[2150/12441] train loss: 6.2955
[2200/12441] train loss: 5.1977
[2250/12441] train loss: 6.1071
[2300/12441] train loss: 5.2836
[2350/12441] train loss: 5.6048
[2400/12441] train loss: 5.5304
[2450/12441] train loss: 4.6541
[2500/12441] train loss: 5.8748
[2550/12441] train loss: 5.4975
[2600/12441] train loss: 5.2029
[2650/12441] train loss: 5.8509
[2700/12441] train loss: 5.0838
[2750/12441] train loss: 6.0494
[2800/12441] train loss: 4.9400
[2850/12441] train loss: 5.0330
[2900/12441] train loss: 5.3329
[2950/12441] train loss: 5.4160
[3000/12441] train loss: 5.3739
[3050/12441] train loss: 5.2660
[3100/12441] train loss: 5.5471
[3150/12441] train loss: 5.1775
[3200/12441] train loss: 4.8551
[3250/12441] train loss: 5.6992
[3300/12441] train loss: 4.6210
[3350/12441] train loss: 5.4766
[3400/12441] train loss: 4.9078
[3450/12441] train loss: 4.9186
[3500/12441] train loss: 4.9513
[3550/12441] train loss: 4.2462
[3600/12441] train loss: 5.4549
[3650/12441] train loss: 5.4219
[3700/12441] train loss: 4.6274
[3750/12441] train loss: 4.6995
[3800/12441] train loss: 5.7032
[3850/12441] train loss: 5.4844
[3900/12441] train loss: 5.3008
[3950/12441] train loss: 5.8294
[4000/12441] train loss: 4.9753
[4050/12441] train loss: 4.5824
[4100/12441] train loss: 5.2616
[4150/12441] train loss: 5.1611
[4200/12441] train loss: 5.2233
[4250/12441] train loss: 5.2220
[4300/12441] train loss: 5.4192
[4350/12441] train loss: 5.4424
[4400/12441] train loss: 4.9203
[4450/12441] train loss: 5.4804
[4500/12441] train loss: 5.2439
[4550/12441] train loss: 5.3636
[4600/12441] train loss: 5.7755
[4650/12441] train loss: 4.6388
[4700/12441] train loss: 4.9177
[4750/12441] train loss: 4.9101
[4800/12441] train loss: 4.8603
[4850/12441] train loss: 5.0940
[4900/12441] train loss: 5.8158
[4950/12441] train loss: 4.5568
[5000/12441] train loss: 4.5645
[5050/12441] train loss: 4.9659
[5100/12441] train loss: 5.5869
[5150/12441] train loss: 4.6637
[5200/12441] train loss: 4.8324
[5250/12441] train loss: 5.0551
[5300/12441] train loss: 5.1615
[5350/12441] train loss: 4.7457
[5400/12441] train loss: 5.8983
[5450/12441] train loss: 4.5270
[5500/12441] train loss: 4.4705
[5550/12441] train loss: 4.1223
[5600/12441] train loss: 4.8181
[5650/12441] train loss: 4.7151
[5700/12441] train loss: 5.0685
[5750/12441] train loss: 4.6982
[5800/12441] train loss: 5.4400
[5850/12441] train loss: 5.4955
[5900/12441] train loss: 4.8904
[5950/12441] train loss: 4.4305
[6000/12441] train loss: 5.1735
[6050/12441] train loss: 4.7101
[6100/12441] train loss: 5.3945
[6150/12441] train loss: 5.4176
[6200/12441] train loss: 4.9459
[6250/12441] train loss: 4.9566
[6300/12441] train loss: 4.7303
[6350/12441] train loss: 4.1257
[6400/12441] train loss: 4.1709
[6450/12441] train loss: 4.7507
